problem_id,domain,category,problem_intent,problem_definition,government_route_condition,innovation_route_condition,hybrid_route_condition
PRB0001,Water Resources & Drinking Water,Village Water Scarcity & Dry Wells,Village Water Scarcity & Dry Wells Intent,Detailed civic issue under Water Resources & Drinking Water: Village Water Scarcity & Dry Wells.,"Routine administrative maintenance, repair, staff posting, or scheme execution.","Requires new R&D, IoT sensor network, AI computer vision, or hardware prototyping.",Requires immediate field relief today + long-term university research innovation.
PRB0002,Water Resources & Drinking Water,Summer Groundwater Depletion,Summer Groundwater Depletion Intent,Detailed civic issue under Water Resources & Drinking Water: Summer Groundwater Depletion.,"Routine administrative maintenance, repair, staff posting, or scheme execution.","Requires new R&D, IoT sensor network, AI computer vision, or hardware prototyping.",Requires immediate field relief today + long-term university research innovation.
PRB0003,Water Resources & Drinking Water,Broken Handpump & Mechanical Failure,Broken Handpump & Mechanical Failure Intent,Detailed civic issue under Water Resources & Drinking Water: Broken Handpump & Mechanical Failure.,"Routine administrative maintenance, repair, staff posting, or scheme execution.","Requires new R&D, IoT sensor network, AI computer vision, or hardware prototyping.",Requires immediate field relief today + long-term university research innovation.
PRB0004,Water Resources & Drinking Water,Handpump Water Flow Failure,Handpump Water Flow Failure Intent,Detailed civic issue under Water Resources & Drinking Water: Handpump Water Flow Failure.,"Routine administrative maintenance, repair, staff posting, or scheme execution.","Requires new R&D, IoT sensor network, AI computer vision, or hardware prototyping.",Requires immediate field relief today + long-term university research innovation.
PRB0005,Water Resources & Drinking Water,Dried Borewell & Aquifer Failure,Dried Borewell & Aquifer Failure Intent,Detailed civic issue under Water Resources & Drinking Water: Dried Borewell & Aquifer Failure.,"Routine administrative maintenance, repair, staff posting, or scheme execution.","Requires new R&D, IoT sensor network, AI computer vision, or hardware prototyping.",Requires immediate field relief today + long-term university research innovation.
PRB0006,Water Resources & Drinking Water,Piped Tap Water No Supply,Piped Tap Water No Supply Intent,Detailed civic issue under Water Resources & Drinking Water: Piped Tap Water No Supply.,"Routine administrative maintenance, repair, staff posting, or scheme execution.","Requires new R&D, IoT sensor network, AI computer vision, or hardware prototyping.",Requires immediate field relief today + long-term university research innovation.
PRB0007,Water Resources & Drinking Water,Broken Distribution Pipeline Leak,Broken Distribution Pipeline Leak Intent,Detailed civic issue under Water Resources & Drinking Water: Broken Distribution Pipeline Leak.,"Routine administrative maintenance, repair, staff posting, or scheme execution.","Requires new R&D, IoT sensor network, AI computer vision, or hardware prototyping.",Requires immediate field relief today + long-term university research innovation.
PRB0008,Water Resources & Drinking Water,Tap Installed But No Water Flow,Tap Installed But No Water Flow Intent,Detailed civic issue under Water Resources & Drinking Water: Tap Installed But No Water Flow.,"Routine administrative maintenance, repair, staff posting, or scheme execution.","Requires new R&D, IoT sensor network, AI computer vision, or hardware prototyping.",Requires immediate field relief today + long-term university research innovation.
PRB0009,Water Resources & Drinking Water,Irregular Hours Water Supply,Irregular Hours Water Supply Intent,Detailed civic issue under Water Resources & Drinking Water: Irregular Hours Water Supply.,"Routine administrative maintenance, repair, staff posting, or scheme execution.","Requires new R&D, IoT sensor network, AI computer vision, or hardware prototyping.",Requires immediate field relief today + long-term university research innovation.
PRB0010,Water Resources & Drinking Water,Low Water Pressure in Taps,Low Water Pressure in Taps Intent,Detailed civic issue under Water Resources & Drinking Water: Low Water Pressure in Taps.,"Routine administrative maintenance, repair, staff posting, or scheme execution.","Requires new R&D, IoT sensor network, AI computer vision, or hardware prototyping.",Requires immediate field relief today + long-term university research innovation.
