complaint_id,complaint_text,domain,category,route,severity,recurrence,innovation_required,innovation_area
SS00001,The administrative service for crop irrigation & farm water is currently non-functional in our block.,Agriculture & Livestock,Crop Irrigation & Farm Water,Government,Medium,Persistent,No,None
SS00002,"Pichle 10 din se crop irrigation & farm water ka problem hai, kripya departmental staff ko inspection ke liye bheje.",Agriculture & Livestock,Crop Irrigation & Farm Water,Government,High,Occasional,No,None
SS00003,हमारे पंचायत में crop irrigation & farm water से संबंधित शिकायत पर कई हफ्तों से कोई कार्रवाई नहीं हुई है।,Agriculture & Livestock,Crop Irrigation & Farm Water,Government,Medium,Persistent,No,None
SS00004,"crop irrigation & farm water issue in ward 5, officer not taking call",Agriculture & Livestock,Crop Irrigation & Farm Water,Government,Low,Occasional,No,None
SS00005,crop irrigation & farm water is broken n not wrking properly plzz resolve,Agriculture & Livestock,Crop Irrigation & Farm Water,Government,Medium,Occasional,No,None
SS00006,Block level grievance filed for crop irrigation & farm water last month but service is still pending.,Agriculture & Livestock,Crop Irrigation & Farm Water,Government,Low,One-time,No,None
SS00007,Urgent maintenance team required for crop irrigation & farm water near community market place.,Agriculture & Livestock,Crop Irrigation & Farm Water,Government,High,One-time,No,None
SS00008,We need an automated digital technology system for smart precision irrigation & soil moisture sensing to monitor this issue continuously.,Agriculture & Livestock,Crop Irrigation & Farm Water,Innovation,Medium,Recurring,Yes,Smart Precision Irrigation & Soil Moisture Sensing
SS00009,Is problem ko permanently solve karne ke liye smart precision irrigation & soil moisture sensing ka low-cost sensor prototype chahiye.,Agriculture & Livestock,Crop Irrigation & Farm Water,Innovation,Medium,Occasional,Yes,Smart Precision Irrigation & Soil Moisture Sensing
SS00010,नवीनतम तकनीक और smart precision irrigation & soil moisture sensing के माध्यम से इस समस्या का स्वचालित समाधान किया जाना चाहिए।,Agriculture & Livestock,Crop Irrigation & Farm Water,Innovation,High,Recurring,Yes,Smart Precision Irrigation & Soil Moisture Sensing
SS00011,need AI and IoT smart solution for smart precision irrigation & soil moisture sensing,Agriculture & Livestock,Crop Irrigation & Farm Water,Innovation,Low,One-time,Yes,Smart Precision Irrigation & Soil Moisture Sensing
SS00012,Developing an offline smart system for smart precision irrigation & soil moisture sensing will eliminate manual delays.,Agriculture & Livestock,Crop Irrigation & Farm Water,Innovation,Medium,Occasional,Yes,Smart Precision Irrigation & Soil Moisture Sensing
SS00013,Abhi तुरंत department emergency team bheje aur future ke liye smart precision irrigation & soil moisture sensing ka early warning technology setup karein.,Agriculture & Livestock,Crop Irrigation & Farm Water,Hybrid,High,Recurring,Yes,Smart Precision Irrigation & Soil Moisture Sensing
SS00014,Har monsoon/season ye issue hota hai. Immediate repair along with long-term implementation of smart precision irrigation & soil moisture sensing.,Agriculture & Livestock,Crop Irrigation & Farm Water,Hybrid,High,Persistent,Yes,Smart Precision Irrigation & Soil Moisture Sensing
