innovation_id,institution_name,institution_type,research_area,relevance_reason,potential_contribution,verification_source
INN-WAT-003,IIT (ISM) Dhanbad,University,Water Quality & Environmental Sensing,Potentially relevant based on research in Department of Environmental Science and Engineering.,"Sensors research, water contamination mapping, and laboratory analytical testing.",https://www.iitism.ac.in/index.php/Departments/dept_env
INN-ENV-001,IIT (ISM) Dhanbad,University,Air Quality Monitoring & Industrial Mining Emissions,Potentially relevant based on active research in mining environmental management.,"Hyperlocal air sensor calibration, dust suppression technology, and industrial emissions monitoring.",https://www.iitism.ac.in/index.php/Departments/dept_env
INN-ENV-005,IIT (ISM) Dhanbad,University,Mining Safety & Environmental Impact Analysis,Potentially relevant based on Department of Mining Engineering and CSIR-CIMFR collaboration.,"Mine tailings monitoring, subsidence warning sensors, and environmental impact assessment.",https://www.iitism.ac.in/index.php/Departments/dept_mining
INN-WAT-002,IIT (ISM) Dhanbad,University,Hydrogeology & Groundwater Management,Potentially relevant based on Department of Applied Geophysics.,"Aquifer mapping, underground water resource assessment, and borewell sensors.",https://www.iitism.ac.in/index.php/Departments/dept_agp
INN-AGRI-002,"BIT Mesra, Ranchi",University,Computer Vision & Agricultural AI,Potentially relevant based on research in Department of Computer Science & Engineering.,"AI crop disease diagnostic algorithms, spectral image processing, and mobile app deployment.",https://www.bitmesra.ac.in/Department?deptid=cse
INN-SAF-002,"BIT Mesra, Ranchi",University,"GIS, Remote Sensing & Hydrodynamic Flood Modeling",Potentially relevant based on Department of Remote Sensing's active satellite disaster monitoring.,"Satellite radar flood extent mapping, terrain elevation modeling, and river discharge simulation.",https://www.bitmesra.ac.in/Department?deptid=rs
INN-EDU-001,"BIT Mesra, Ranchi",University,Natural Language Processing & Vernacular Speech AI,Potentially relevant based on Department of Computer Science research in NLP.,"Speech recognition models for tribal languages (Santhali, Mundari) and offline tutoring systems.",https://www.bitmesra.ac.in/Department?deptid=cse
INN-ROAD-001,"BIT Mesra, Ranchi",University,Computer Vision & Transportation Engineering,Potentially relevant based on Department of Civil Engineering highway group.,Automated pavement condition index calculation and pothole detection vision models.,https://www.bitmesra.ac.in/Department?deptid=civil
INN-ROAD-003,NIT Jamshedpur,University,"Smart Grids, Embedded Systems & Micro-Electronics",Potentially relevant based on Department of Electrical Engineering.,Solar streetlight micro-controller hardware design and wireless mesh communication.,http://www.nitjsr.ac.in/academics/departments/ee
INN-SAN-001,NIT Jamshedpur,University,IoT Systems & Smart Urban Infrastructure,Potentially relevant based on Department of Computer Applications.,IoT sensor node development and low-power LoRa communication network.,http://www.nitjsr.ac.in/academics/departments/ece
INN-HEA-001,NIT Jamshedpur,University,Biomedical Instrumentation & Embedded Diagnostics,Potentially relevant based on Electronics and Electrical Engg biomedical signal group.,Low-cost diagnostic circuit design and portable ECG signal processing.,http://www.nitjsr.ac.in/academics/departments/ece
INN-AGRI-001,"Birsa Agricultural University (BAU), Ranchi",University,Precision Agriculture & Irrigation Engineering,Potentially relevant based on Faculty of Agricultural Engineering.,Drip irrigation schedule validation and crop water requirement estimation.,https://www.bauranchi.org/faculty-of-agricultural-engineering
INN-AGRI-004,"Birsa Agricultural University (BAU), Ranchi",University,Soil Science & Agricultural Chemistry,Potentially relevant based on Department of Soil Science.,Soil NPK calibration data and soil health mapping across Jharkhand districts.,https://www.bauranchi.org/faculty-of-agriculture
INN-AGRI-005,"Birsa Agricultural University (BAU), Ranchi",University,Veterinary Medicine & Animal Husbandry,Potentially relevant based on Ranchi College of Veterinary Science.,Cattle disease surveillance protocols and endemic animal pathogen tracking.,https://www.bauranchi.org/college-of-veterinary-science
INN-SAF-001,"CSIR-Central Institute of Mining and Fuel Research (CIMFR), Dhanbad",Research Institute,Mine Safety & Thermal Hazard Warning,Potentially relevant based on Mine Safety & Fires Research Group at CSIR-CIMFR.,Thermal drone sensing algorithms and underground gas warning systems.,https://cimfr.csir.res.in/Mine-Safety.aspx
INN-HEA-002,AIIMS Deoghar,University,"Telemedicine, Public Health & Emergency Care",Potentially relevant based on AIIMS Deoghar Department of Community and Family Medicine.,"Telemedicine protocol design, emergency medical delivery validation, and remote clinical triage.",https://www.aiimsdeoghar.edu.in/department/community-medicine
INN-GOV-004,IIIT Ranchi,University,NLP & Intelligent Citizen Data Analytics,Potentially relevant based on IIIT Ranchi Data Science and Natural Language Processing lab.,Grievance classification models and SLA prediction engines.,https://iiitranchi.ac.in/Research.aspx
INN-EMP-001,XLRI Jamshedpur,University,Rural Management & Labor Market Economics,Potentially relevant based on XLRI Centre for Rural Management.,Rural employment ecosystem design and informal sector worker surveys.,https://www.xlri.ac.in/research-centers/centre-for-rural-management
INN-TRIB-001,"Central University of Jharkhand (CUJ), Ranchi",University,"Tribal Languages, Development & Indigenous Technology",Potentially relevant based on Department of Tribal Studies and Centre for Indigenous Knowledge.,"Vernacular language translation, tribal NTFP processing prototypes, and indigenous knowledge preservation.",https://cuj.ac.in/TribalStudies.php
INN-LAW-001,"National University of Study & Research in Law (NUSRL), Ranchi",University,Legal Literacy & Public Grievance Governance,Potentially relevant based on Legal Aid Clinic.,Automated legal scheme eligibility engine and citizen rights guidance.,https://www.nusrlranchi.ac.in/
